"BIOGEOREF";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Atlantique";"PYRULA";0;0;2;3,75;5,6;8,2;10;32;0,4;"Terrestre";"Court";94;0,549707602339181
"Atlantique";"RALAQU";0;0;0;0;0;0;0;54;0;"Aquatique";"Court";3;0,0175438596491228
"Atlantique";"REGIGN";0;0;0;0;0;0;0;42;0;"Terrestre";"Court";32;0,187134502923977
"Atlantique";"REGREG";0;0;0;0;0;0,725;1;43;0,0161290322580645;"Terrestre";"Court";34;0,198830409356725
"Atlantique";"RIPRIP";0;0;0;1;1,6;1,9;1;54;0,0166666666666667;"Terrestre";"Long";5;0,0292397660818713
"Atlantique";"SAXRUB";0;0;0;0;0;0;0;45;0;"Terrestre";"Long";5;0,0292397660818713
"Atlantique";"SAXTOR";0;0;0;1;2;3;4;32;0,111111111111111;"Terrestre";"Court";47;0,274853801169591
"Atlantique";"SERSER";0;0;0;0;0,3;0,825;1;42;0,0181818181818182;"Terrestre";"Court";19;0,111111111111111
"Atlantique";"SITEUR";0;0;0;0;1;1;2;32;0,0681818181818182;"Terrestre";"Court";53;0,309941520467836
"Atlantique";"STRALU";0;0;0;0;0;0;0;46;0;"Terrestre";"Court";7;0,0409356725146199
"Atlantique";"STRCTO";0;0;0;0;0;0;0;30;0;"Terrestre";"Court";2;0,0116959064327485
"Atlantique";"STRTUR";0;0;0;0;0,9;1;2;32;0,0476190476190476;"Terrestre";"Long";33;0,192982456140351
"Atlantique";"STUVUL";0;0;0;0,25;1;1,675;3;32;0,0806451612903226;"Terrestre";"Court";47;0,274853801169591
"Atlantique";"SYLALA";0,0125;0,125;0,25;1,5;1,8;1,95;1;54,5;0,0163978494623656;"Terrestre";"Court";3;0,0175438596491228
"Atlantique";"SYLATR";0,775;5;10;16,75;20,6;26,975;31;32;0,968253968253968;"Terrestre";"Court";168;0,982456140350877
"Atlantique";"SYLBOR";0;0,5;2;5;8;10,7;22;32;0,653846153846154;"Terrestre";"Long";138;0,807017543859649
"Atlantique";"SYLCAN";0,249999999999999;1;1;1;1;1;1;55;0,0144927536231884;"Terrestre";"Long";2;0,0116959064327485
"Atlantique";"SYLCOM";0;0;3;8,25;14,8;25;15;32;0,5;"Terrestre";"Long";118;0,690058479532164
"Atlantique";"SYLCUR";0;0;0,25;2,5;4,25;6,6125;3,5;37;0,121969696969697;"Terrestre";"Long";35;0,204678362573099
"Atlantique";"SYLHOR";0;0;0;0;0;0;0;55;0;"Terrestre";"Long";2;0,0116959064327485
"Atlantique";"SYLUND";0;0;0;0,25;0,7;0,925;1;47;0,0238095238095238;"Terrestre";"Court";15;0,087719298245614
"Atlantique";"TRITOT";0;0;0;0;0;0;0;47;0;"Aquatique";"Court";2;0,0116959064327485
"Atlantique";"TROTRO";0;0;1;3;5,1;7,725;19;32;0,581818181818182;"Terrestre";"Court";158;0,923976608187134
"Atlantique";"TURMER";0,5;4;6,5;10,75;13,4;20,8;29;32;0,962962962962963;"Terrestre";"Court";169;0,988304093567251
"Atlantique";"TURPHI";0;0;1;2,75;4;6;20;32;0,62962962962963;"Terrestre";"Court";157;0,91812865497076
"Atlantique";"TURPIL";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Court";1;0,00584795321637427
"Atlantique";"TURVIS";0;0;0;0;0,9;1;1;42,5;0,0344927536231884;"Terrestre";"Court";32;0,187134502923977
"Atlantique";"TYTALB";0;0;0;0;0;0;0;28;0;"Terrestre";"Court";2;0,0116959064327485
"Atlantique";"UPUEPO";0;0;0;0,25;0,7;0,925;1;42;0,0181818181818182;"Terrestre";"Long";7;0,0409356725146199
